age	workclass	education	marital_status	occupation	race	sex	native_country	class
10s	 Private	 HS-grad	 Never-married	 Machine-op-inspct	 Black	 Female	 United-States	 <=50K
40s	 Private	 Assoc-acdm	 Never-married	 Farming-fishing	 White	 Male	 United-States	 <=50K
60s	 Private	 Some-college	 Never-married	 Prof-specialty	 White	 Male	 United-States	 >50K
30s	 Private	 Assoc-acdm	 Married-civ-spouse	 Craft-repair	 White	 Male	 Portugal	 <=50K
40s	 Private	 HS-grad	 Never-married	 Other-service	 White	 Female	 United-States	 <=50K
20s	 Local-gov	 HS-grad	 Never-married	 Farming-fishing	 White	 Male	 Poland	 <=50K
40s	 Private	 Assoc-voc	 Married-spouse-absent	 Handlers-cleaners	 White	 Male	 United-States	 <=50K
30s	 Self-emp-inc	 Bachelors	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 >50K
40s	 Private	 11th	 Divorced	 Machine-op-inspct	 Other	 Female	 Puerto-Rico	 <=50K
40s	 Private	 Some-college	 Married-civ-spouse	 Transport-moving	 White	 Male	 United-States	 <=50K
40s	 Self-emp-not-inc	 Some-college	 Divorced	 Exec-managerial	 White	 Male	 United-States	 <=50K
20s	 Private	 Bachelors	 Never-married	 Transport-moving	 White	 Male	 United-States	 <=50K
20s	 Private	 HS-grad	 Never-married	 Craft-repair	 White	 Male	 United-States	 <=50K
60s	 ?	 Some-college	 Married-civ-spouse	 ?	 White	 Male	 United-States	 >50K
40s	 ?	 HS-grad	 Married-civ-spouse	 ?	 White	 Male	 United-States	 <=50K
30s	 Private	 Bachelors	 Never-married	 Tech-support	 White	 Male	 United-States	 <=50K
50s	 Private	 Masters	 Divorced	 Prof-specialty	 White	 Female	 United-States	 <=50K
20s	 Private	 Bachelors	 Never-married	 Sales	 White	 Female	 United-States	 <=50K
40s	 Self-emp-not-inc	 Some-college	 Never-married	 Other-service	 Black	 Female	 United-States	 <=50K
20s	 Private	 HS-grad	 Divorced	 Craft-repair	 White	 Male	 United-States	 <=50K
20s	 Private	 Some-college	 Never-married	 Other-service	 White	 Male	 United-States	 <=50K
40s	 Self-emp-not-inc	 12th	 Married-civ-spouse	 Handlers-cleaners	 Black	 Male	 United-States	 >50K
40s	 Federal-gov	 Some-college	 Divorced	 Exec-managerial	 White	 Male	 United-States	 <=50K
20s	 Local-gov	 HS-grad	 Never-married	 Protective-serv	 White	 Male	 United-States	 <=50K
50s	 Local-gov	 Some-college	 Married-civ-spouse	 Farming-fishing	 White	 Male	 United-States	 <=50K
30s	 Local-gov	 Bachelors	 Never-married	 Prof-specialty	 White	 Male	 United-States	 <=50K
20s	 Private	 Bachelors	 Married-civ-spouse	 Prof-specialty	 White	 Male	 United-States	 <=50K
30s	 Private	 HS-grad	 Never-married	 Other-service	 White	 Male	 United-States	 <=50K
20s	 Private	 Some-college	 Never-married	 Other-service	 White	 Female	 United-States	 <=50K
10s	 Private	 Some-college	 Never-married	 Other-service	 White	 Female	 United-States	 <=50K
20s	 State-gov	 Bachelors	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 >50K
30s	 Private	 HS-grad	 Never-married	 Other-service	 White	 Female	 United-States	 <=50K
20s	 Private	 Some-college	 Never-married	 Farming-fishing	 White	 Female	 United-States	 <=50K
40s	 State-gov	 Some-college	 Married-civ-spouse	 Craft-repair	 White	 Male	 ?	 <=50K
40s	 Private	 Assoc-voc	 Married-civ-spouse	 Tech-support	 White	 Male	 United-States	 >50K
40s	 Private	 Assoc-acdm	 Divorced	 Craft-repair	 White	 Male	 United-States	 <=50K
30s	 Private	 HS-grad	 Separated	 Other-service	 White	 Female	 United-States	 <=50K
40s	 Private	 Assoc-voc	 Never-married	 Adm-clerical	 White	 Male	 United-States	 <=50K
40s	 ?	 11th	 Married-civ-spouse	 ?	 White	 Male	 United-States	 <=50K
10s	 Private	 11th	 Never-married	 Sales	 White	 Male	 United-States	 <=50K
60s	 Private	 Masters	 Widowed	 Prof-specialty	 White	 Female	 United-States	 >50K
10s	 Private	 11th	 Never-married	 Adm-clerical	 White	 Female	 United-States	 <=50K
40s	 Private	 Bachelors	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 >50K
40s	 Private	 9th	 Divorced	 Machine-op-inspct	 White	 Female	 United-States	 <=50K
40s	 ?	 Some-college	 Divorced	 ?	 Black	 Female	 United-States	 <=50K
60s	 Local-gov	 7th-8th	 Married-civ-spouse	 Other-service	 White	 Male	 United-States	 <=50K
20s	 Private	 HS-grad	 Never-married	 Sales	 White	 Male	 United-States	 <=50K
20s	 Private	 Some-college	 Never-married	 Sales	 White	 Male	 United-States	 <=50K
40s	 Private	 HS-grad	 Divorced	 Machine-op-inspct	 White	 Male	 United-States	 <=50K
30s	 Private	 Assoc-acdm	 Divorced	 Other-service	 Amer-Indian-Eskimo	 Female	 United-States	 <=50K
40s	 State-gov	 HS-grad	 Married-civ-spouse	 Prof-specialty	 White	 Female	 United-States	 >50K
20s	 Private	 Some-college	 Married-civ-spouse	 Prof-specialty	 White	 Male	 United-States	 <=50K
30s	 Private	 HS-grad	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 >50K
40s	 Private	 HS-grad	 Never-married	 Adm-clerical	 White	 Female	 United-States	 <=50K
40s	 Private	 Bachelors	 Never-married	 Sales	 White	 Male	 United-States	 <=50K
20s	 Private	 Some-college	 Never-married	 Other-service	 White	 Male	 United-States	 <=50K
50s	 Private	 HS-grad	 Divorced	 Machine-op-inspct	 White	 Female	 United-States	 <=50K
40s	 Private	 Some-college	 Never-married	 Craft-repair	 White	 Male	 Japan	 <=50K
30s	 Private	 Assoc-voc	 Never-married	 Adm-clerical	 White	 Female	 United-States	 <=50K
80s	 Private	 HS-grad	 Never-married	 Other-service	 White	 Female	 United-States	 <=50K
60s	 Private	 HS-grad	 Married-civ-spouse	 Machine-op-inspct	 White	 Male	 United-States	 <=50K
40s	 Self-emp-not-inc	 HS-grad	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 <=50K
20s	 Local-gov	 Bachelors	 Never-married	 Prof-specialty	 White	 Female	 United-States	 <=50K
40s	 Private	 Bachelors	 Separated	 Prof-specialty	 White	 Female	 United-States	 <=50K
40s	 Federal-gov	 Assoc-acdm	 Married-civ-spouse	 Prof-specialty	 White	 Male	 United-States	 >50K
60s	 ?	 7th-8th	 Married-civ-spouse	 ?	 White	 Male	 United-States	 <=50K
30s	 Self-emp-inc	 Masters	 Married-civ-spouse	 Sales	 White	 Male	 Mexico	 >50K
20s	 Private	 Some-college	 Married-civ-spouse	 Tech-support	 White	 Male	 United-States	 <=50K
30s	 Private	 Some-college	 Never-married	 Machine-op-inspct	 Black	 Female	 United-States	 <=50K
10s	 Private	 Some-college	 Never-married	 Other-service	 White	 Female	 United-States	 <=50K
20s	 Private	 HS-grad	 Never-married	 Other-service	 White	 Male	 United-States	 <=50K
40s	 Private	 Assoc-voc	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 <=50K
50s	 Private	 HS-grad	 Divorced	 Adm-clerical	 White	 Female	 United-States	 <=50K
50s	 ?	 HS-grad	 Married-civ-spouse	 ?	 White	 Male	 United-States	 >50K
50s	 Private	 Assoc-voc	 Divorced	 Other-service	 White	 Male	 United-States	 <=50K
40s	 Federal-gov	 HS-grad	 Married-civ-spouse	 Adm-clerical	 Black	 Male	 United-States	 >50K
40s	 Self-emp-inc	 Some-college	 Married-civ-spouse	 Sales	 White	 Male	 United-States	 >50K
40s	 Self-emp-not-inc	 HS-grad	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 >50K
40s	 Private	 Bachelors	 Married-civ-spouse	 Prof-specialty	 White	 Male	 United-States	 >50K
30s	 Private	 Masters	 Never-married	 Prof-specialty	 White	 Male	 United-States	 >50K
50s	 Self-emp-inc	 Masters	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 >50K
30s	 Private	 HS-grad	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 <=50K
40s	 Private	 Bachelors	 Never-married	 Exec-managerial	 Black	 Female	 United-States	 <=50K
50s	 Private	 HS-grad	 Never-married	 Sales	 White	 Male	 United-States	 <=50K
50s	 ?	 12th	 Married-civ-spouse	 ?	 White	 Male	 United-States	 <=50K
20s	 Federal-gov	 Some-college	 Never-married	 Armed-Forces	 Black	 Male	 United-States	 <=50K
40s	 Federal-gov	 Bachelors	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 <=50K
60s	 Local-gov	 HS-grad	 Widowed	 Adm-clerical	 White	 Female	 United-States	 <=50K
20s	 Private	 HS-grad	 Never-married	 Machine-op-inspct	 White	 Male	 United-States	 <=50K
20s	 State-gov	 Prof-school	 Never-married	 Prof-specialty	 White	 Male	 United-States	 <=50K
30s	 Private	 Some-college	 Never-married	 Prof-specialty	 White	 Male	 United-States	 >50K
30s	 Private	 HS-grad	 Never-married	 Craft-repair	 White	 Male	 United-States	 <=50K
20s	 Private	 Assoc-acdm	 Never-married	 Other-service	 Black	 Male	 United-States	 <=50K
20s	 Private	 Some-college	 Separated	 Adm-clerical	 White	 Male	 United-States	 <=50K
20s	 Private	 Bachelors	 Never-married	 Tech-support	 White	 Female	 United-States	 <=50K
40s	 Private	 HS-grad	 Never-married	 Adm-clerical	 White	 Female	 United-States	 <=50K
40s	 Private	 HS-grad	 Widowed	 Other-service	 White	 Female	 United-States	 <=50K
10s	 ?	 Some-college	 Never-married	 ?	 White	 Male	 United-States	 <=50K
40s	 Private	 Assoc-voc	 Married-civ-spouse	 Machine-op-inspct	 White	 Female	 Peru	 <=50K
50s	 Self-emp-inc	 HS-grad	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 <=50K
20s	 Private	 HS-grad	 Divorced	 Craft-repair	 White	 Male	 United-States	 <=50K
40s	 Self-emp-inc	 HS-grad	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 >50K
60s	 Private	 Prof-school	 Married-civ-spouse	 Transport-moving	 White	 Male	 United-States	 >50K
40s	 Self-emp-not-inc	 HS-grad	 Married-spouse-absent	 Craft-repair	 White	 Male	 United-States	 <=50K
30s	 Private	 Some-college	 Married-civ-spouse	 Sales	 White	 Male	 United-States	 <=50K
30s	 Self-emp-inc	 Bachelors	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 >50K
20s	 Private	 Some-college	 Married-spouse-absent	 Prof-specialty	 Black	 Male	 United-States	 <=50K
40s	 Local-gov	 Bachelors	 Married-civ-spouse	 Protective-serv	 White	 Male	 United-States	 <=50K
40s	 Private	 HS-grad	 Married-civ-spouse	 Craft-repair	 Black	 Male	 United-States	 <=50K
20s	 State-gov	 HS-grad	 Divorced	 Adm-clerical	 White	 Female	 United-States	 <=50K
20s	 Private	 HS-grad	 Never-married	 Adm-clerical	 White	 Female	 United-States	 <=50K
10s	 Private	 12th	 Never-married	 Handlers-cleaners	 White	 Male	 United-States	 <=50K
10s	 ?	 Bachelors	 Never-married	 ?	 Black	 Female	 Jamaica	 <=50K
20s	 Private	 HS-grad	 Married-civ-spouse	 Sales	 White	 Male	 United-States	 >50K
60s	 Private	 Some-college	 Married-civ-spouse	 Protective-serv	 White	 Male	 United-States	 <=50K
30s	 Private	 11th	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 <=50K
50s	 Self-emp-not-inc	 12th	 Divorced	 Sales	 White	 Female	 United-States	 <=50K
40s	 Self-emp-not-inc	 Some-college	 Married-civ-spouse	 Sales	 White	 Male	 United-States	 >50K
30s	 Private	 11th	 Married-civ-spouse	 Other-service	 White	 Male	 Mexico	 <=50K
50s	 Private	 HS-grad	 Divorced	 Other-service	 Black	 Female	 United-States	 <=50K
10s	 Private	 Some-college	 Never-married	 Handlers-cleaners	 White	 Male	 United-States	 <=50K
40s	 Local-gov	 HS-grad	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 <=50K
40s	 Private	 Assoc-acdm	 Married-civ-spouse	 Sales	 White	 Male	 United-States	 >50K
30s	 Private	 HS-grad	 Divorced	 Other-service	 White	 Female	 United-States	 <=50K
20s	 Private	 HS-grad	 Never-married	 Other-service	 White	 Female	 United-States	 <=50K
30s	 Private	 Some-college	 Divorced	 Adm-clerical	 Black	 Female	 United-States	 <=50K
70s	 Private	 HS-grad	 Widowed	 Sales	 White	 Female	 United-States	 <=50K
30s	 Private	 HS-grad	 Divorced	 Adm-clerical	 White	 Female	 United-States	 <=50K
20s	 Private	 Masters	 Never-married	 Exec-managerial	 White	 Male	 United-States	 <=50K
30s	 Private	 Bachelors	 Married-civ-spouse	 Adm-clerical	 White	 Male	 United-States	 >50K
40s	 Private	 HS-grad	 Never-married	 Machine-op-inspct	 White	 Female	 United-States	 <=50K
40s	 Private	 Some-college	 Married-civ-spouse	 Prof-specialty	 White	 Female	 United-States	 >50K
20s	 Private	 HS-grad	 Married-spouse-absent	 Protective-serv	 White	 Male	 United-States	 <=50K
30s	 Private	 Bachelors	 Married-civ-spouse	 Sales	 White	 Male	 United-States	 >50K
30s	 Federal-gov	 9th	 Married-civ-spouse	 Tech-support	 White	 Male	 United-States	 <=50K
20s	 Private	 Bachelors	 Married-civ-spouse	 Adm-clerical	 White	 Male	 United-States	 <=50K
50s	 Private	 HS-grad	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 <=50K
20s	 Private	 7th-8th	 Married-civ-spouse	 Handlers-cleaners	 White	 Male	 Mexico	 <=50K
20s	 State-gov	 Some-college	 Never-married	 Other-service	 White	 Male	 United-States	 <=50K
20s	 Private	 Some-college	 Never-married	 Craft-repair	 White	 Male	 United-States	 <=50K
20s	 Private	 HS-grad	 Married-civ-spouse	 Handlers-cleaners	 White	 Male	 United-States	 <=50K
20s	 Private	 HS-grad	 Divorced	 Sales	 White	 Male	 United-States	 <=50K
40s	 Private	 10th	 Married-civ-spouse	 Transport-moving	 White	 Male	 United-States	 <=50K
20s	 Private	 HS-grad	 Never-married	 Other-service	 White	 Male	 El-Salvador	 <=50K
60s	 Self-emp-not-inc	 HS-grad	 Married-civ-spouse	 Farming-fishing	 White	 Male	 United-States	 <=50K
20s	 Private	 Some-college	 Never-married	 Other-service	 Other	 Male	 ?	 <=50K
30s	 Private	 11th	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 <=50K
30s	 Private	 HS-grad	 Separated	 Adm-clerical	 White	 Female	 United-States	 <=50K
40s	 Private	 Some-college	 Divorced	 Adm-clerical	 White	 Male	 United-States	 <=50K
30s	 Private	 Some-college	 Married-civ-spouse	 Farming-fishing	 White	 Male	 United-States	 <=50K
40s	 Self-emp-not-inc	 Bachelors	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 <=50K
30s	 Private	 HS-grad	 Never-married	 Adm-clerical	 White	 Male	 United-States	 <=50K
30s	 Private	 Some-college	 Never-married	 Sales	 White	 Male	 United-States	 <=50K
50s	 Local-gov	 Prof-school	 Divorced	 Prof-specialty	 White	 Female	 United-States	 <=50K
10s	 Private	 HS-grad	 Never-married	 Priv-house-serv	 White	 Female	 ?	 <=50K
30s	 Private	 HS-grad	 Never-married	 Craft-repair	 White	 Male	 United-States	 <=50K
30s	 Private	 Bachelors	 Never-married	 Exec-managerial	 White	 Female	 United-States	 <=50K
20s	 Local-gov	 Assoc-acdm	 Married-civ-spouse	 Other-service	 White	 Female	 United-States	 <=50K
30s	 Private	 Assoc-acdm	 Married-civ-spouse	 Exec-managerial	 White	 Female	 United-States	 >50K
20s	 Private	 Bachelors	 Never-married	 Exec-managerial	 White	 Male	 United-States	 <=50K
20s	 Private	 Some-college	 Never-married	 Adm-clerical	 White	 Female	 United-States	 <=50K
40s	 Private	 HS-grad	 Divorced	 Other-service	 Asian-Pac-Islander	 Female	 United-States	 <=50K
40s	 Private	 Bachelors	 Never-married	 Prof-specialty	 White	 Male	 United-States	 <=50K
50s	 Local-gov	 HS-grad	 Separated	 Protective-serv	 Black	 Female	 United-States	 <=50K
40s	 Private	 Assoc-acdm	 Married-civ-spouse	 Sales	 White	 Male	 United-States	 >50K
40s	 State-gov	 Bachelors	 Divorced	 Exec-managerial	 White	 Female	 United-States	 >50K
30s	 Private	 HS-grad	 Married-civ-spouse	 Protective-serv	 White	 Male	 United-States	 >50K
40s	 Private	 HS-grad	 Married-civ-spouse	 Adm-clerical	 White	 Female	 United-States	 <=50K
20s	 State-gov	 11th	 Separated	 Adm-clerical	 Asian-Pac-Islander	 Female	 India	 <=50K
50s	 Local-gov	 Masters	 Widowed	 Prof-specialty	 White	 Female	 United-States	 <=50K
20s	 Private	 11th	 Never-married	 Machine-op-inspct	 Black	 Male	 United-States	 <=50K
40s	 Private	 HS-grad	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 >50K
30s	 Private	 HS-grad	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 <=50K
30s	 Private	 Assoc-acdm	 Married-civ-spouse	 Exec-managerial	 White	 Female	 United-States	 >50K
50s	 Private	 11th	 Married-civ-spouse	 Transport-moving	 White	 Male	 United-States	 >50K
60s	 Private	 Assoc-voc	 Married-civ-spouse	 Farming-fishing	 White	 Male	 United-States	 <=50K
30s	 ?	 Some-college	 Divorced	 ?	 White	 Female	 United-States	 <=50K
20s	 Private	 10th	 Never-married	 Craft-repair	 White	 Male	 United-States	 <=50K
50s	 Self-emp-not-inc	 Bachelors	 Married-civ-spouse	 Sales	 White	 Male	 United-States	 >50K
30s	 Federal-gov	 Prof-school	 Married-civ-spouse	 Prof-specialty	 White	 Male	 United-States	 >50K
30s	 Private	 Bachelors	 Divorced	 Exec-managerial	 White	 Female	 United-States	 <=50K
20s	 Private	 HS-grad	 Never-married	 Transport-moving	 White	 Male	 United-States	 <=50K
30s	 Private	 HS-grad	 Divorced	 Craft-repair	 White	 Male	 United-States	 <=50K
20s	 State-gov	 Some-college	 Never-married	 Prof-specialty	 White	 Female	 United-States	 <=50K
10s	 Private	 HS-grad	 Never-married	 Handlers-cleaners	 White	 Female	 United-States	 <=50K
40s	 Self-emp-not-inc	 Bachelors	 Divorced	 Exec-managerial	 White	 Male	 United-States	 <=50K
50s	 Private	 7th-8th	 Widowed	 Transport-moving	 White	 Male	 United-States	 <=50K
40s	 Private	 Some-college	 Never-married	 Craft-repair	 White	 Male	 United-States	 <=50K
50s	 Federal-gov	 Some-college	 Married-civ-spouse	 Exec-managerial	 Asian-Pac-Islander	 Female	 Philippines	 >50K
20s	 ?	 Some-college	 Divorced	 ?	 White	 Female	 United-States	 <=50K
30s	 Private	 Assoc-acdm	 Divorced	 Exec-managerial	 White	 Female	 United-States	 <=50K
30s	 Private	 Bachelors	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 <=50K
30s	 State-gov	 HS-grad	 Married-civ-spouse	 Protective-serv	 White	 Male	 United-States	 <=50K
20s	 ?	 Some-college	 Never-married	 ?	 White	 Female	 United-States	 <=50K
30s	 Self-emp-inc	 HS-grad	 Married-civ-spouse	 Exec-managerial	 White	 Male	 Canada	 >50K
30s	 State-gov	 Some-college	 Never-married	 Adm-clerical	 Black	 Female	 United-States	 <=50K
50s	 Private	 10th	 Married-civ-spouse	 Other-service	 White	 Male	 Mexico	 <=50K
60s	 ?	 Bachelors	 Married-civ-spouse	 ?	 White	 Male	 United-States	 >50K
60s	 Private	 HS-grad	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 >50K
30s	 Self-emp-not-inc	 HS-grad	 Married-civ-spouse	 Sales	 White	 Male	 United-States	 <=50K
40s	 Private	 Bachelors	 Divorced	 Sales	 White	 Female	 United-States	 <=50K
30s	 Private	 Assoc-voc	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 >50K
50s	 Federal-gov	 Masters	 Married-civ-spouse	 Tech-support	 White	 Male	 United-States	 >50K
40s	 Private	 Some-college	 Married-civ-spouse	 Sales	 White	 Male	 United-States	 <=50K
30s	 Private	 HS-grad	 Divorced	 Craft-repair	 White	 Male	 United-States	 <=50K
20s	 Private	 Some-college	 Never-married	 Adm-clerical	 White	 Female	 United-States	 <=50K
40s	 Private	 HS-grad	 Divorced	 Protective-serv	 Black	 Male	 United-States	 <=50K
30s	 Self-emp-not-inc	 Some-college	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 >50K
20s	 Private	 Some-college	 Never-married	 Other-service	 White	 Female	 United-States	 <=50K
60s	 Private	 Assoc-voc	 Widowed	 Adm-clerical	 White	 Female	 United-States	 <=50K
20s	 Private	 Some-college	 Never-married	 Other-service	 White	 Female	 United-States	 <=50K
30s	 Private	 Assoc-voc	 Married-civ-spouse	 Adm-clerical	 White	 Female	 United-States	 >50K
50s	 ?	 HS-grad	 Married-civ-spouse	 ?	 White	 Male	 United-States	 >50K
50s	 Private	 HS-grad	 Married-civ-spouse	 Transport-moving	 White	 Male	 United-States	 >50K
50s	 Private	 HS-grad	 Divorced	 Adm-clerical	 Asian-Pac-Islander	 Female	 Philippines	 <=50K
30s	 Private	 Bachelors	 Never-married	 Adm-clerical	 White	 Male	 United-States	 <=50K
10s	 Private	 11th	 Never-married	 Sales	 Amer-Indian-Eskimo	 Female	 United-States	 <=50K
40s	 Federal-gov	 HS-grad	 Married-civ-spouse	 Transport-moving	 White	 Male	 United-States	 >50K
40s	 Federal-gov	 11th	 Never-married	 Tech-support	 White	 Male	 United-States	 <=50K
20s	 Self-emp-not-inc	 11th	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 <=50K
20s	 Private	 HS-grad	 Never-married	 Adm-clerical	 Black	 Female	 United-States	 <=50K
40s	 Private	 HS-grad	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 >50K
50s	 Private	 HS-grad	 Married-civ-spouse	 Handlers-cleaners	 White	 Male	 United-States	 >50K
20s	 Local-gov	 Bachelors	 Married-civ-spouse	 Prof-specialty	 White	 Male	 El-Salvador	 <=50K
60s	 Private	 9th	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 <=50K
50s	 Self-emp-not-inc	 10th	 Divorced	 Sales	 White	 Male	 United-States	 <=50K
50s	 Private	 Some-college	 Married-civ-spouse	 Tech-support	 White	 Male	 United-States	 >50K
40s	 Local-gov	 Some-college	 Never-married	 Adm-clerical	 Amer-Indian-Eskimo	 Female	 United-States	 <=50K
50s	 Private	 HS-grad	 Married-civ-spouse	 Priv-house-serv	 Black	 Female	 United-States	 <=50K
30s	 Private	 Bachelors	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 >50K
40s	 Private	 Assoc-voc	 Divorced	 Sales	 White	 Male	 United-States	 <=50K
50s	 ?	 HS-grad	 Married-civ-spouse	 ?	 White	 Male	 United-States	 <=50K
30s	 Federal-gov	 Some-college	 Divorced	 Adm-clerical	 White	 Female	 United-States	 <=50K
50s	 Private	 Some-college	 Married-civ-spouse	 Prof-specialty	 White	 Male	 United-States	 <=50K
60s	 Private	 Some-college	 Widowed	 Adm-clerical	 White	 Female	 Cuba	 <=50K
40s	 Private	 Bachelors	 Married-civ-spouse	 Prof-specialty	 White	 Male	 United-States	 >50K
50s	 Self-emp-not-inc	 Some-college	 Married-civ-spouse	 Farming-fishing	 White	 Male	 United-States	 <=50K
30s	 Federal-gov	 Bachelors	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 <=50K
60s	 Local-gov	 HS-grad	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 <=50K
